year,field_of_study,major,students
2005,Social Sciences,Public Administration and Social Service Professions,4934.0
2005,Social Sciences,Social Sciences,25039.0
2005,Undeclared,Undeclared,17888.0
2006,Agriculture,Agriculture,5114.0
2006,Agriculture,Natural Resources and Conservation,2347.0
2006,Business and Management,Business and Management,102506.0
2006,Communications and Journalism,"Communication, Journalism",9127.0
2006,Communications and Journalism,Communications Technologies/Technicians,2367.0
2006,Education,Education,16825.0
2006,Engineering,Construction Trades,160.0
2006,Engineering,Engineering,84126.0
2006,Engineering,Engineering Technologies/Technicians,3864.0
2006,Engineering,Mechanic and Repair Technologies/Technicians,348.0
2006,Engineering,Military Technologies,42.0
2006,Engineering,Precision Production,22.0
2006,Engineering,Transportation and Materials Moving,617.0
2006,Fine and Applied Arts,Architecture,5742.0
2006,Fine and Applied Arts,Visual and Performing Arts,23846.0
2006,Health Professions,Health Professions,28294.0
2006,Health Professions,Residency Programs,429.0
2006,Humanities,English Language and Literature/Letters,4751.0
2006,Humanities,"Foreign Languages, Literatures and Linguistics",6053.0
2006,Humanities,Philosophy and Religious Studies,2443.0
2006,Humanities,Theology and Religious Vocations,2942.0
2006,Intensive English,Intensive English,22417.0
2006,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",892.0
2006,Legal Studies and Law Enforcement,Legal Professions and Studies,6368.0
2006,Math and Computer Science,Computer and Information Sciences,33437.0
2006,Math and Computer Science,Mathematics and Statistics,12582.0
2006,Other Fields of Study,Basic Skills,
2006,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2720.0
2006,Other Fields of Study,Liberal Arts and Sciences/General Studies,30371.0
2006,Other Fields of Study,Library Science,724.0
2006,Other Fields of Study,Multi/Interdisciplinary Studies,6996.0
2006,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3103.0
2006,Other Fields of Study,Personal and Culinary Services,1135.0
2006,Other Fields of Study,Reserve Officer Training Corps,
2006,Physical and Life Sciences,Biological and Biomedical Sciences,28315.0
2006,Physical and Life Sciences,Physical Sciences,22497.0
2006,Physical and Life Sciences,Science Technologies/Technicians,1051.0
2006,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2353.0
2006,Social Sciences,History,1878.0
2006,Social Sciences,Psychology,8307.0
2006,Social Sciences,Public Administration and Social Service Professions,5389.0
2006,Social Sciences,Social Sciences,27056.0
2006,Undeclared,Undeclared,19545.0
2007,Agriculture,Agriculture,6721.0
2007,Agriculture,Natural Resources and Conservation,2224.0
2007,Business and Management,Business and Management,110041.0
2007,Communications and Journalism,"Communication, Journalism",9222.0
2007,Communications and Journalism,Communications Technologies/Technicians,2913.0
2007,Education,Education,17775.0
2007,Engineering,Construction Trades,493.0
2007,Engineering,Engineering,89821.0
2007,Engineering,Engineering Technologies/Technicians,4586.0
2007,Engineering,Mechanic and Repair Technologies/Technicians,470.0
2007,Engineering,Military Technologies,56.0
2007,Engineering,Precision Production,39.0
2007,Engineering,Transportation and Materials Moving,724.0
2007,Fine and Applied Arts,Architecture,5940.0
2007,Fine and Applied Arts,Visual and Performing Arts,25787.0
2007,Health Professions,Health Professions,29163.0
2007,Health Professions,Residency Programs,422.0
2007,Humanities,English Language and Literature/Letters,4938.0
2007,Humanities,"Foreign Languages, Literatures and Linguistics",6252.0
2007,Humanities,Philosophy and Religious Studies,1996.0
2007,Humanities,Theology and Religious Vocations,4274.0
